FUNGO,[] OE ,O. odorifera,,,Média,dp,O. diospyrifolia,,,Média,dp,,C. dinisii,,,Média,dp,,O. puberula,,,Média,dp
,,,,,,,,,,,,,,,,,,,,,,,
Alternaria alternata,50%,"9,4",10,"10,3","9,9","0,46","3,9",4,4,"3,97","0,06",,"5,35","6,25","7,61","6,40","1,14",,"0,33","1,55","0,89","0,92","0,611"
,60%,"10,6","11,1","11,7","11,13","0,55","5,2","5,3","6,5","5,67","0,72",,"7,21","8,2","9,3","8,24","1,05",,"0,17","0,35","0,97","0,50","0,420"
,70%,12,"12,9",13,"12,63","0,55",8,6,"7,7","7,23","1,08",,"10,1","9,7","7,5","9,10","1,40",,"0,51","0,43","0,27","0,40","0,122"
,80%,"12,7","13,4","13,3","13,13","0,38",9,8,10,9,1,,"10,3",10,"11,11","10,47","0,57",,"1,01","0,89",1,"0,97","0,067"
,90%,"13,1","13,8","13,9","13,60","0,44",12,"11,8","13,1","12,3","0,7",,16,"15,5","17,01","16,17","0,77",,"2,31","3,1","2,77","2,73","0,397"
,100%,"14,3",15,"15,2","14,83","0,47",14,"13,9","14,2","14,03","0,15",,"16,2","16,1","15,9","16,07","0,15",,"4,32","3,57","5,01","4,30","0,720"
,,,,,,,,,,,,,,,,,,,,,,,
Aspergillus flavus,50%,"9,9",11,"11,9","10,93","1,00","2,8","5,9","5,1","4,56","1,61",,7,"6,4","5,75","6,38","0,63",,"0,21","0,5","0,79","0,50","0,29"
,60%,"11,7","12,1","12,4","12,07","0,35",4,7,"5,8","6,03","1,51",,"7,1","6,2","5,9","6,4","0,62",,"0,75","0,56","0,88","0,73","0,16"
,70%,"13,5",13,"13,7","13,40","0,36",7,"7,1","6,8","6,96","0,15",,10,"6,6","4,2","6,93","2,91",,"1,21","1,33","0,77","1,10","0,29"
,80%,"14,1","14,5","14,8","14,47","0,35",12,13,"12,9","12,63","0,55",,7,7,"9,1","7,7","1,21",,"2,2","2,1",2,"2,10","0,10"
,90%,"14,6","15,3",15,"14,97","0,35",14,"13,4","14,1","13,83","0,38",,15,13,17,15,"2,00",,"3,4","4,12","3,86","3,79","0,36"
,100%,"15,2",16,"16,1","15,77","0,49",17,16,"16,8","16,6","0,53",,"18,3","20,4","21,9","20,2","1,81",,"5,7","6,1","4,32","5,37","0,93"
,,,,,,,,,,,,,,,,,,,,,,,
Penicillium crustosum,50%,"8,5","9,2","9,5","9,07","0,51","5,7",8,"6,9","7,56","1,15",,"8,9","15,31","21,11","15,11","6,11",,"0,79","0,77","1,23","0,93","0,26"
,60%,10,11,"11,9","10,97","0,95","6,3","9,1","8,8","8,63","1,54",,"9,99","19,93","24,5","18,14","7,42",,"1,45","2,01","1,13","1,53","0,45"
,70%,"11,9",12,"12,2","12,03","0,15","9,2",10,9,"9,4","0,53",,15,19,"23,99","19,33","4,50",,"3,12","2,57","1,07","2,25","1,06"
,80%,13,"13,9","14,5","13,80","0,75",11,15,13,13,2,,"10,9","20,1",27,"19,33","8,08",,"5,21","4,37","6,11","5,23","0,87"
,90%,"14,8","15,3",16,"15,37","0,60",16,18,16,"15,66","1,15",,"20,44","25,5","27,5","24,48","3,64",,"5,34","4,27","6,5","5,37","1,12"
,100%,"15,9","16,5","17,3","16,57","0,70",22,19,20,"18,33","1,53",,24,31,35,"30,00","5,57",,"6,12","7,33","8,91","7,45","1,40"
